"","lyftdf1","id"
"87","If you want to take a #FREE ride or food with #Uber Ì†ΩÌ∫ò or #LyftÌ†ºÌæà

I HAVE #PROMO #CODES FOR YOU

#UberEATSÌ†ºÌΩΩ: UE-SARAH‚Ä¶ https://t.co/LPC92oTObi","87"
"88","Calling all TCU Horned Frogs football fans! Lyft gives you 10 free taxi rides! Get Lyft app &amp; use code DUSK #football #college #uber #Lyft","88"
"89","Going to LaVell Edwards Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/n97QNFYilu  #uber #Lyft","89"
"90","@Uber. Why 22 mins for a ride when #lyft is 8 mins away? Sheesh.","90"
"91","In Stanford, California ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","91"
"92","RT @LuckyHappyDeals: Love Taco Mayo? Get there free w/ Lyft - $50 credit Use Lyft Promo Code COAX #food #restaurant #foodie #grub #Lyft #ub‚Ä¶","92"
"93",".@LastWeekTonight Do a story on how #Lyft and #Uber put their female drivers in danger, and pay pennies on the $. R‚Ä¶ https://t.co/FxvJQvxsuj","93"
"94","Love Taco Mayo? Get there free w/ Lyft - $50 credit Use Lyft Promo Code COAX #food #restaurant #foodie #grub #Lyft #uber #date","94"
"95","So I‚Äôm pretty sure my #Lyft driver picked up her niece for free and added her to this line. Can‚Äôt be sure because m‚Ä¶ https://t.co/IvlkyqUMiU","95"
"96","So I finally made it out of Newtown and now in Philly. Part 2 of my journey begins. I need a big bowl of beef soup‚Ä¶ https://t.co/AbsRTN7SoE","96"
"97","Going to https://t.co/8Mv2Yk6mJ5 Coliseum ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/AVSAqJO3KC  #uber #Lyft","97"
"98","Want a free ride to LP Field ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO #freeLyft #Lyft #stadium #uber","98"
"99","Want a free ride to The Dome at America's Center ? Go w/ Lyft - $50 Lyft credit for new users w/ Promo CODE CLEO‚Ä¶ https://t.co/R8gYiHp0AS","99"
"100","Meanwhile, #Lyft  puts its female drivers in harms way every night, and pays them pennies on the dollar. #MeToo‚Ä¶ https://t.co/g5kwmRag2Q","100"
"101","@lyft one of your drivers charged me $80 to bring back a cell I left behind &amp; customer service basically told me th‚Ä¶ https://t.co/krjSj18Ssw","101"
"102","#Lyft is easy to use for a free rides. Get Lyft this eve &amp; use promo code ZOOT https://t.co/AjvIWYJcjz #nyc","102"
"103","Going to University of Kansas Memorial Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX‚Ä¶ https://t.co/9zZXTy6Yec","103"
"104","https://t.co/TYOS0Ihigh  GET UR FREE rides w/ ridesharing app Lyft - promo code ZOOT #lyft #Lyft #gett #sidecar #lyftcredit #lyftpromo","104"
"105","Love California Tortilla? Get there free w/ Lyft - $50 credit Use Lyft Promo Code COAX #food #restaurant #foodie #grub #Lyft #uber #date","105"
"106","Going to Animas Valley Malin Farmington? Download Lyft app &amp; go free Use Lyft Promo Code COAX #mall #store #shop #Lyft #shopping","106"
"107","Going to Gateway Center in Brooklyn? Go free w/ 10 Free Lyft rides Use Lyft Promo Code COAX #shopping #store #mall #Lyft","107"
"108","Want a free taxi ride to Georgia Dome ? Go w/ Lyft - $50 Lyft credit for new users w/ code: LICK #freeLyft #Lyft #stadium #uber","108"
"109","Heading to Dimond Center inAnchorage? Go free w/ 10 Free Lyft rides Use Lyft Coupon Code COAX #shopping #store #mall #Lyft","109"
"110",".@FFoundersSlack Please tell @KateGlanz to require #Lyft      drivers have photos on their profiles. My GF got pair‚Ä¶ https://t.co/BgF22lzYfy","110"
"111","Headin' to Rangers Ballpark in Arlington ? Go for free w/ Lyft! $50 Lyft ride credit, Use Code PIX #stadium #sports #uber #Lyft","111"
"112","Going to Arrowhead Stadium ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/kOh7JgC2gE  #uber #Lyft","112"
"113","@HatchAppsHQ @KateGlantz @ameliafriedman @lyft @MarthaTableorg .@KateGlanz Hey, sweatshop queen, how about requirin‚Ä¶ https://t.co/ZnMRNuvk3Y","113"
"114","In Arlington, Texas ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","114"
"115","So many scheduled pick ups on #Lyft never seen it like this before they‚Äôre offering so little money I‚Äôm not excepti‚Ä¶ https://t.co/NzOVFDo98q","115"
"116","While .@johnzimmer was at a holiday party, female #Lyft drivers were being sexually harassed....‚Ä¶ https://t.co/XeK5laWq97","116"
"117","Heading to Park Plaza Malin Little Rock? Get there free w/ $50 Free Lyft Credit Use Lyft Coupon Code DUSK #mall #store #shop #Lyft","117"
"118","In Chicago, Illinois ? $50 Free Lyft ride credit w/ Lyft Promo Code PLEX #freeLyft #uber #Lyft","118"
"119","This drive is a stinker Ì†æÌ¥¢ 
#Lyft #Gross #why #Sos #Sendhelp","119"
"120","Going to Great American Ball Park ? Go totally free w/ Lyft! $50 Lyft credit w/ Promo Code VEX https://t.co/HPJWPYUn5Q  #uber #Lyft","120"
"121","@RealSteveRohr @lyft Hey Dude: #Lyft   knows male passengers  assault and sexually harass female drivers and it doe‚Ä¶ https://t.co/At1PVBOJvB","121"
"122","RT @lukemattmartin: When your Lyft driver plays NPR like a boss. #NPR #Lyft¬† #Ì†ΩÌπåÌ†ºÌøº #LA","122"
"123","On your way to #caltrainsf station? Forget #Lyft &amp; use #lyft. $50 free for Lyft https://t.co/TYOS0IyTER #Caltrain","123"
"124","Going to Berkshire Malin Lanesborough? Go free w/ 10 Free Lyft rides Enter Lyft Promo Code COAX #shopping #store #mall #Lyft","124"
"125","Airport traffic... took the chance to talk #climatechange &amp; #energy with my dope #Lyft driver, Rosie. Thanks for th‚Ä¶ https://t.co/DIoVQF9j8Y","125"
"126","Yo #Lyft where are all your cars tonight!? Left me hanging.","126"
"127","RT @PatersonJanet1: We grew up being told not to get in to cars with strangers, now we have an app and we pay the strangers. #Uber #Lyft","127"
